==== test ====
n_dim = 12
max_it = 1000, rtol = 1.00e-06
sor_omega = 1.50
solver type = "gs"

==== solver ====
solve with gs

iter	||true residual||	||relative residual||
0	05.21645447001793e+00	01.00000000000000e+00
1	02.26647303798330e+00	04.34485348431596e-01
2	07.98615402399273e-01	01.53095441930796e-01
3	02.58702410890955e-01	04.95935337647193e-02
4	01.28293918635890e-01	02.45940838501078e-02
5	01.27463198220126e-01	02.44348338421686e-02
6	01.22434910511625e-01	02.34709056151704e-02
7	01.08619822278655e-01	02.08225381632214e-02
8	09.24637671829654e-02	01.77254048155523e-02
9	07.70966405076593e-02	01.47795099048174e-02
10	06.35795745720848e-02	01.21882736516756e-02
11	05.20920223481066e-02	09.98609738616725e-03
12	04.24890716781473e-02	08.14520128994843e-03
13	03.45313513910673e-02	06.61969764895669e-03
14	02.79732343971656e-02	05.36249948273188e-03
15	02.25933743745690e-02	04.33117446043603e-03
16	01.82027376239985e-02	03.48948461615460e-03
17	01.46443361510362e-02	02.80733518047668e-03
18	01.17901763839339e-02	02.26018964637744e-03
19	09.53726313361926e-03	01.82830372400173e-03
20	07.80274730267390e-03	01.49579515119339e-03
21	06.51740708974040e-03	01.24939403328445e-03
22	05.61698717230890e-03	01.07678255500802e-03
23	05.03362418544831e-03	09.64951235437698e-04
24	04.69302698182814e-03	08.99658380764512e-04
25	04.52076218253304e-03	08.66635031229842e-04
26	04.45253316710280e-03	08.53555454704754e-04
27	04.44038045694962e-03	08.51225766940194e-04
28	04.45258090682322e-03	08.53564606461123e-04
29	04.47007643440676e-03	08.56918518142725e-04
30	04.48241638990662e-03	08.59284101044058e-04
31	04.48453486355926e-03	08.59690214749223e-04
32	04.47454915513281e-03	08.57775943574453e-04
33	04.45236457888736e-03	08.53523136160345e-04
34	04.41882627577281e-03	08.47093806946927e-04
35	04.37521785379485e-03	08.38734024986096e-04
36	04.32297287957817e-03	08.28718606560235e-04
37	04.26351475478233e-03	08.17320419316853e-04
38	04.19817310275915e-03	08.04794353499787e-04
39	04.12814515893375e-03	07.91369920443217e-04
40	04.05448312019716e-03	07.77248827436468e-04
41	03.97809597933166e-03	07.62605329385342e-04
42	03.89975896714875e-03	07.47588038880237e-04
43	03.82012652071739e-03	07.32322412219628e-04
44	03.73974639917116e-03	07.16913455425656e-04
45	03.65907360559215e-03	07.01448393084427e-04
46	03.57848340245980e-03	06.85999163421721e-04
47	03.49828308593751e-03	06.70624675446556e-04
48	03.41872240712532e-03	06.55372806716661e-04
49	03.34000265569360e-03	06.40282144680949e-04
50	03.26228448986563e-03	06.25383487695698e-04
51	03.18569462964408e-03	06.10701128123357e-04
52	03.11033154170656e-03	05.96253942133203e-04
53	03.03627024367147e-03	05.82056310684339e-04
54	02.96356634787344e-03	05.68118894721849e-04
55	02.89225945396827e-03	05.54449285542853e-04
56	02.82237598760453e-03	05.41052548972947e-04
57	02.75393157023122e-03	05.27931679660909e-04
58	02.68693299369817e-03	05.15087979611741e-04
59	02.62137986276423e-03	05.02521373057286e-04
60	02.55726595931916e-03	04.90230667979043e-04
61	02.49458037388958e-03	04.78213773019092e-04
62	02.43330844288640e-03	04.66467877151439e-04
63	02.37343252395348e-03	04.54989598317211e-04
64	02.31493263652410e-03	04.43775106220019e-04
65	02.25778699032131e-03	04.32820223640052e-04
66	02.20197242073466e-03	04.22120509896272e-04
67	02.14746474692400e-03	04.11671329495303e-04
68	02.09423906581263e-03	04.01467908490234e-04
69	02.04226999293181e-03	03.91505380650776e-04
70	01.99153185926343e-03	03.81778825198216e-04
71	01.94199887162091e-03	03.72283297550612e-04
72	01.89364524289541e-03	03.63013854291131e-04
73	01.84644529735394e-03	03.53965573353810e-04
