==== test ====
n_dim = 6
max_it = 1000, rtol = 1.00e-06
sor_omega = 1.50
solver type = "jacobi"

==== solver ====
solve with jacobi

iter	||true residual||	||relative residual||
0	03.50310637764334e+00	01.00000000000000e+00
1	01.40858405568698e+01	04.02095712729849e+00
2	05.06569208034003e+01	01.44605716591110e+01
3	01.89545696577216e+02	05.41078905815957e+01
4	07.01132368478389e+02	02.00145897068094e+02
5	02.60177770337399e+03	07.42705879552619e+02
6	09.64629475361755e+03	02.75364025916534e+03
7	03.57729270471213e+04	01.02117729782408e+04
8	01.32653972762046e+05	03.78675262643001e+04
9	04.91919096827492e+05	01.40423682240110e+05
10	01.82416885566478e+06	05.20728935697341e+05
11	06.76451944964178e+06	01.93100600450292e+06
12	02.50846884734997e+07	07.16069846853324e+06
13	09.30208952165450e+07	02.65538311397564e+07
14	03.44946947882660e+08	09.84688761049607e+07
15	01.27915773537257e+09	03.65149555130867e+08
16	04.74346713019904e+09	01.35407453238406e+09
17	01.75900749409341e+10	05.02127912905904e+09
18	06.52288142604153e+10	01.86202778986966e+10
19	02.41886303740095e+11	06.90490889125724e+10
20	08.96980645744785e+11	02.56052928186615e+11
21	03.32624983888034e+12	09.49514368192843e+11
22	01.23346451711419e+13	03.52105926610193e+12
23	04.57402416738533e+13	01.30570518685260e+13
24	01.69617340373701e+14	04.84191235116898e+13
25	06.28987541443060e+14	01.79551367739566e+14
26	02.33245802828262e+15	06.65825634975932e+14
27	08.64939302488954e+15	02.46906376583068e+15
28	03.20743176476757e+16	09.15596450406771e+15
29	01.18940352184671e+17	03.39528233980397e+16
30	04.41063393248484e+17	01.25906365865259e+17
31	01.63558383080808e+18	04.66895279357287e+17
32	06.06519268783148e+18	01.73137553759122e+18
33	02.24913952116716e+19	06.42041456554407e+18
34	08.34042518686194e+19	02.38086551983980e+19
35	03.09285803050325e+20	08.82890125815683e+19
36	01.14691644401016e+21	03.27399833282176e+20
37	04.25308021437657e+21	01.21408822795663e+21
38	01.57715859811678e+22	04.50217158171997e+21
39	05.84853592745678e+22	01.66952849755915e+22
40	02.16879726208866e+23	06.19106880661638e+22
41	08.04249409148908e+23	02.29581783265729e+23
42	02.98237702261506e+24	08.51352114696958e+23
43	01.10594706117781e+25	03.15704675209384e+24
44	04.10115452490767e+25	01.17071937954298e+25
45	01.52082039254738e+26	04.34134801687206e+25
46	05.63961843510405e+26	01.60989071616432e+26
47	02.09132493550349e+27	05.96991558363808e+26
48	07.75520549162471e+27	02.21380816212664e+27
49	02.87584254346618e+28	08.20940683337414e+27
50	01.06644115926287e+29	03.04427283758451e+28
51	03.95465582339976e+29	01.12889972415288e+29
52	01.46649466271160e+30	04.18626928394380e+29
53	05.43816375381247e+30	01.55238327574594e+30
54	02.01662002360085e+31	05.75666224831429e+30
55	07.47817922315569e+31	02.13472798624703e+31
56	02.77311361779409e+32	07.91615588807685e+31
57	01.02834646077791e+33	02.93552735749266e+32
58	03.81339025061528e+33	01.08857392254833e+33
59	01.41410952029603e+34	04.03673016988811e+33
60	05.24390530203204e+34	01.49693007768716e+34
61	01.94458367064265e+35	05.55102660613702e+34
62	07.21104870193731e+35	02.05847265956806e+35
63	02.67405430616041e+36	07.63338025709437e+35
64	09.91612555656981e+36	02.83066641077589e+36
65	03.67717087222680e+37	01.04968861228261e+37
66	01.36359564493358e+38	03.89253279214124e+37
67	05.05658602086074e+38	01.44345774171508e+38
68	01.87512055214944e+39	05.35273654296189e+38
69	06.95346043869872e+39	01.98494127471417e+39
70	02.57853352506452e+40	07.36070574824845e+39
71	09.56190834548836e+40	02.72955123672864e+40
72	03.54581743145001e+41	01.01219233708666e+41
73	01.31488619247297e+42	03.75348633676817e+41
74	04.87595803388290e+42	01.39189550879786e+42
75	01.80813874875912e+43	05.16152966492418e+42
76	06.70507357127658e+43	01.91403652885566e+43
77	02.48642487348303e+44	07.09777153600381e+43
78	09.22034424492983e+44	02.63204803136257e+44
79	03.41915611051302e+45	09.76035478777895e+44
80	01.26791670652504e+46	03.61940680596176e+45
81	04.70178231915853e+46	01.34217514751053e+46
